name,image
Leonard Bernstein,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Leonard_Bernstein_by_Jack_Mitchell.jpg/220px-Leonard_Bernstein_by_Jack_Mitchell.jpg
Mattilda Bernstein Sycamore,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Mattilda_Bernstein_Sycamore_280606.jpg/220px-Mattilda_Bernstein_Sycamore_280606.jpg
Anthony Bidulka,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Author_Anthony_Bidulka_.jpg/220px-Author_Anthony_Bidulka_.jpg
Imogen Binnie,NaN
Elizabeth Bishop,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Elizabeth_Bishop%2C_1934_yearbook_portrait.jpg/220px-Elizabeth_Bishop%2C_1934_yearbook_portrait.jpg
bill bissett,NaN
Persimmon Blackbridge,NaN
Marie-Claire Blais,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Marie-Claire_Blais_2010.jpg/225px-Marie-Claire_Blais_2010.jpg
Robin Blaser,https://upload.wikimedia.org/wikipedia/en/9/93/Robin_Blaser.jpg
Charlie Bondhus,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Charlie_Bondhus_1280750.JPG/220px-Charlie_Bondhus_1280750.JPG
Walter Borden,NaN
Barrie Jean Borich,NaN
Elizabeth Bowen,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Elizabeth_Bowen.jpg/200px-Elizabeth_Bowen.jpg
John Boyne,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/John_Boyne_in_Dublin_%28cropped%29.JPG/220px-John_Boyne_in_Dublin_%28cropped%29.JPG
Lawrence Ytzhak Braithwaite,NaN
Christopher Bram,NaN
Dionne Brand,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Dionne_Brand.jpg/220px-Dionne_Brand.jpg
Beth Brant,NaN
Perry Brass,NaN
Andre Brassard,NaN
Bertolt Brecht,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Bertolt-Brecht.jpg/220px-Bertolt-Brecht.jpg
Poppy Z. Brite,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Recent_photo_of_Billy_Martin.jpg/220px-Recent_photo_of_Billy_Martin.jpg
Lynn Breedlove,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Lynn_Breedlove_20191119-7944_%28cropped%29.jpg/220px-Lynn_Breedlove_20191119-7944_%28cropped%29.jpg
Michael Bronski,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Michael_Bronski_%282000%29.jpg/220px-Michael_Bronski_%282000%29.jpg
Carellin Brooks,NaN
Brigid Brophy,https://upload.wikimedia.org/wikipedia/en/4/49/Brigid_Brophy_562717.jpg
Nicole Brossard,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Nicole_Brossard01.jpg/220px-Nicole_Brossard01.jpg
Rebecca Brown,NaN
Rita Mae Brown,NaN
Nathan Burgoine,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Nathan_burgoine_canadian_writer.jpg/220px-Nathan_burgoine_canadian_writer.jpg
John Horne Burns,NaN
William S. Burroughs,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Burroughs1983_cropped.jpg/220px-Burroughs1983_cropped.jpg
Aldo Busi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Aldo_BUSI_%28cropped%29.jpg/220px-Aldo_BUSI_%28cropped%29.jpg
Alec Butler,NaN
Samuel Butler,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Samuel_Butler_by_Charles_Gogin.jpg/220px-Samuel_Butler_by_Charles_Gogin.jpg
Lord Byron,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Byron_1813_by_Phillips.jpg/220px-Byron_1813_by_Phillips.jpg
Patrick Califia,NaN
Elspeth Cameron,NaN
Truman Capote,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Truman_Capote_by_Jack_Mitchell.jpg/220px-Truman_Capote_by_Jack_Mitchell.jpg
Pat Capponi,https://upload.wikimedia.org/wikipedia/en/7/78/PatCapponi1980.png
Edward Carpenter,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Day%2C_Fred_Holland_%281864%E2%80%931933%29_-_Edward_Carpenter_%28cropped%29.jpg/220px-Day%2C_Fred_Holland_%281864%E2%80%931933%29_-_Edward_Carpenter_%28cropped%29.jpg
Michael Carroll,NaN
Stacie Cassarino,NaN
Clint Catalyst,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/ClintTopHat.jpg/220px-ClintTopHat.jpg
Willa Cather,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Cather_Van_Vechten.jpg/220px-Cather_Van_Vechten.jpg
Constantine P. Cavafy,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Konstantinos_Kavafis.jpg/220px-Konstantinos_Kavafis.jpg
Kate Cayley,NaN
