name,image
Horace,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Quintus_Horatius_Flaccus.jpg/200px-Quintus_Horatius_Flaccus.jpg
Leah Horlick,NaN
Silas House,NaN
A. E. Housman,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Alfred_Edward_Housman.jpeg/220px-Alfred_Edward_Housman.jpeg
James Howe,NaN
Tanya Huff,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Tanya_Huff_at_OVFF_2005.jpg/225px-Tanya_Huff_at_OVFF_2005.jpg
Langston Hughes,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/LangstonHughes_crop.jpg/220px-LangstonHughes_crop.jpg
Jay Hulme,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Jay_Hulme.jpg/500px-Jay_Hulme.jpg
Bo Huston,NaN
Joris-Karl Huysmans,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Joris_Karl_Huysmans.jpg/220px-Joris_Karl_Huysmans.jpg
John Ibbitson,NaN
William Inge,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Williaminge.jpg/220px-Williaminge.jpg
Malcolm Ingram,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Malcolm_Ingram.jpg/220px-Malcolm_Ingram.jpg
Juana Ines de la Cruz,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Sor_Juana_by_Miguel_Cabrera.png/200px-Sor_Juana_by_Miguel_Cabrera.png
Christopher Isherwood,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Christopher_Isherwood_en_route_to_China%2C_1938._%287893554712%29_%28cropped1%29.jpg/220px-Christopher_Isherwood_en_route_to_China%2C_1938._%287893554712%29_%28cropped1%29.jpg
Arturo Islas,NaN
Harish Iyer,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Harish_iyer.jpeg/220px-Harish_iyer.jpeg
Tove Jansson,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Tove_Jansson_in_1967_%28cropped%29.jpg/220px-Tove_Jansson_in_1967_%28cropped%29.jpg
Derek Jarman,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Derek_Jarman.jpg/220px-Derek_Jarman.jpg
Alfred Jarry,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Alfred_Jarry.jpg/200px-Alfred_Jarry.jpg
Sarah Orne Jewett,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Sarah_Orne_Jewett_7.jpg/220px-Sarah_Orne_Jewett_7.jpg
Craig Johnson,NaN
June Jordan,https://upload.wikimedia.org/wikipedia/en/5/52/June_Jordan.jpg
Konrad Juengling,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Ruth_Kluger_Konrad_Juengling.jpg/220px-Ruth_Kluger_Konrad_Juengling.jpg
Amanda Junquera Butler,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Carmen_Conde_and_Amanda_Junquera%2C_1940.jpg/220px-Carmen_Conde_and_Amanda_Junquera%2C_1940.jpg
Claude Jutra,NaN
Karin Kallmaker,NaN
Christopher Kelly,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Christopher_Kelly_2016.jpg/220px-Christopher_Kelly_2016.jpg
Randall Kenan,NaN
Nina Kennedy,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Nina_Kennedy.jpg/220px-Nina_Kennedy.jpg
Maurice Kenny,NaN
Jack Kerouac,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Kerouac_by_Palumbo_2_%28cropped%29.png/220px-Kerouac_by_Palumbo_2_%28cropped%29.png
Gary Kinsman,NaN
Heinrich von Kleist,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Kleist%2C_Heinrich_von.jpg/220px-Kleist%2C_Heinrich_von.jpg
Tamai Kobayashi,NaN
Bernard-Marie Koltes,NaN
Bill Konigsberg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Bill_Konigsberg_2015.jpg/220px-Bill_Konigsberg_2015.jpg
Greg Kramer,NaN
Larry Kramer,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Larry_Kramer_2010_Photo_-_David_Shankbone.jpg/220px-Larry_Kramer_2010_Photo_-_David_Shankbone.jpg
Ellen Kushner,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/EK_-_Diner_-_Photo_by_Delia.jpg/220px-EK_-_Diner_-_Photo_by_Delia.jpg
Tony Kushner,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Tony_Kushner_-_Hollywood_and_Socialism_-_The_Laura_Flanders_Show_2.png/220px-Tony_Kushner_-_Hollywood_and_Socialism_-_The_Laura_Flanders_Show_2.png
Mikhail Kuzmin,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Mikhail_Kuzmin_circa_1911.jpg/200px-Mikhail_Kuzmin_circa_1911.jpg
Lydia Kwa,NaN
Lawrence La Fountain-Stokes,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Lawrence-lafountain-stokes.JPG/220px-Lawrence-lafountain-stokes.JPG
Edward A. Lacey,NaN
Ben Ladouceur,NaN
Jean-Luc Lagarce,NaN
Selma Lagerlof,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Selma_Lagerl%C3%B6f.jpg/220px-Selma_Lagerl%C3%B6f.jpg
Lori L. Lake,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Oct2018-atPowells-med.jpg/220px-Oct2018-atPowells-med.jpg
Kevin Lambert,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Kevin_Lambert_%C3%A0_la_Biblioth%C3%A8que_%C3%A0_livres_ouverts.jpg/220px-Kevin_Lambert_%C3%A0_la_Biblioth%C3%A8que_%C3%A0_livres_ouverts.jpg
Michael Lannan,NaN
Benjamin Law,NaN
D. H. Lawrence,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/D_H_Lawrence_passport_photograph.jpg/220px-D_H_Lawrence_passport_photograph.jpg
David Leavitt,NaN
Violette Leduc,https://upload.wikimedia.org/wikipedia/en/8/87/Violette_Leduc.jpg
John Alan Lee,NaN
Robert Lepage,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Robert_Lepage.jpg/220px-Robert_Lepage.jpg
Alex Leslie,NaN
David Levithan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/David_Levithan_2018.jpg/220px-David_Levithan_2018.jpg
Matthew G. Lewis,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Matthew_Gregory_Lewis_by_George_Lethbridge_Saunders%2C_after_Unknown_artist.jpg/220px-Matthew_Gregory_Lewis_by_George_Lethbridge_Saunders%2C_after_Unknown_artist.jpg
Jose Lezama Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Lezama_lima.jpg/220px-Lezama_lima.jpg
Ali Liebegott,NaN
Eddie Linden,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Granville_Davies_portrait_of_Eddie_Linden.jpg/220px-Granville_Davies_portrait_of_Eddie_Linden.jpg
Lynette Loeppky,NaN
Audre Lorde,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Audre_Lorde.jpg/220px-Audre_Lorde.jpg
Ed Luce,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Ed_Luce_of_Goteblud_Comics_-_Stumptown_Comics_Fest_%287123305353%29.jpg/220px-Ed_Luce_of_Goteblud_Comics_-_Stumptown_Comics_Fest_%287123305353%29.jpg
Ann-Marie MacDonald,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Anne_Marie_MacDonald_-_Eden_Mills_Writers_Festival_-_2015_%28DanH-6084%29_%28cropped%29.jpg/220px-Anne_Marie_MacDonald_-_Eden_Mills_Writers_Festival_-_2015_%28DanH-6084%29_%28cropped%29.jpg
Daniel MacIvor,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Daniel_MacIvor.jpg/220px-Daniel_MacIvor.jpg
John Henry Mackay,https://upload.wikimedia.org/wikipedia/commons/e/e4/John_Henry_Mackay.gif
Bennett Madison,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Bennett_madison_2013.jpg/220px-Bennett_madison_2013.jpg
Gregory Maguire,NaN
Anand Mahadevan,NaN
Louise Maheux-Forcier,NaN
Klaus Mann,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Klaus_Mann.jpg/220px-Klaus_Mann.jpg
Thomas Mann,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Thomas_Mann_1929.jpg/220px-Thomas_Mann_1929.jpg
David Charles Manners,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/DCMclose_small.jpg/220px-DCMclose_small.jpg
Jovette Marchessault,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Photo_of_Jovette_Marchessault.jpg/220px-Photo_of_Jovette_Marchessault.jpg
Paula Martinac,NaN
Richard Mason,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Richard_Mason_H1132_C.jpg/220px-Richard_Mason_H1132_C.jpg
Blair Mastbaum,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/BlairPortraitNYBus.jpg/215px-BlairPortraitNYBus.jpg
Nemir Matos-Cintron,NaN
F. O. Matthiessen,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/F.O._%E2%80%9CMatty%E2%80%9D_Matthiessen%2C_and_Russell_Cheney%2C_Normandy%2C_summer_1925.jpg/220px-F.O._%E2%80%9CMatty%E2%80%9D_Matthiessen%2C_and_Russell_Cheney%2C_Normandy%2C_summer_1925.jpg
W. Somerset Maugham,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Maugham_retouched.jpg/220px-Maugham_retouched.jpg
Armistead Maupin,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/ArmisteadMaupinChristopherTurnerHWOFMay2013.jpg/220px-ArmisteadMaupinChristopherTurnerHWOFMay2013.jpg
Tawiah M'carthy,NaN
Richard McCann,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Richard_McCann_1272037.jpg/220px-Richard_McCann_1272037.jpg
Carson McCullers,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Carsonmccullers.jpg/220px-Carsonmccullers.jpg
Val McDermid,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/ValMcDermid.jpg/220px-ValMcDermid.jpg
Keith McDermott,NaN
Michael McDowell,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Michael_McDowell_%28author%29.jpg/220px-Michael_McDowell_%28author%29.jpg
Peter McGehee,NaN
Fiona McGregor,NaN
Terrence McNally,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Terrence_McNally_2020.jpg/220px-Terrence_McNally_2020.jpg
Lida Merlinova,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/L%C3%ADda_Merl%C3%ADnov%C3%A1%2C_Czech_writer.jpg/220px-L%C3%ADda_Merl%C3%ADnov%C3%A1%2C_Czech_writer.jpg
James Merrill,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/James_Merrill_%281973%29_%28cropped%29.jpg/220px-James_Merrill_%281973%29_%28cropped%29.jpg
Charlotte Mew,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Charlotte-mew.jpg/220px-Charlotte-mew.jpg
Grant Michaels,NaN
Michelangelo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Michelangelo_Daniele_da_Volterra_%28dettaglio%29.jpg/220px-Michelangelo_Daniele_da_Volterra_%28dettaglio%29.jpg
Stevie Mikayne,NaN
Edna St. Vincent Millay,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Edna_St._Vincent_Millay_1933_van_Vechten.jpg/220px-Edna_St._Vincent_Millay_1933_van_Vechten.jpg
Isabel Miller,https://upload.wikimedia.org/wikipedia/en/2/2f/Alma_Routsong.jpg
Roswell George Mills,NaN
John Milton,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/John-milton.jpg/220px-John-milton.jpg
Yukio Mishima,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Yukio_Mishima_cropped.jpg/220px-Yukio_Mishima_cropped.jpg
Sylvia Molloy,NaN
Paul Monette,https://upload.wikimedia.org/wikipedia/en/1/1d/West_of_Yesterday%2C_East_of_Summer_%28Paul_Monette_book_-_cover_art%29.jpg
Carlos Monsivais,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Carlos_monsivais.jpg/220px-Carlos_monsivais.jpg
Shani Mootoo,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Writer_Shani_Mootoo.jpg/220px-Writer_Shani_Mootoo.jpg
Cherrie Moraga,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Cherr%C3%ADe_Moraga_Laura_Flanders_Show_2019.jpg/220px-Cherr%C3%ADe_Moraga_Laura_Flanders_Show_2019.jpg
Cesar Moro,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/C%C3%A9sar_Moro.jpg/220px-C%C3%A9sar_Moro.jpg
Erwin Mortier,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Erwinmortier675.jpg/220px-Erwinmortier675.jpg
Erin Moure,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Erin_Mour%C3%A9.png/220px-Erin_Mour%C3%A9.png
Hasan Namir,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Hasan_Namir.jpg/220px-Hasan_Namir.jpg
Nathanael,NaN
Michael Nava,NaN
Abdi Nazemian,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Abdi_Nazemian_at_BookCon_%2826714%29.jpg/220px-Abdi_Nazemian_at_BookCon_%2826714%29.jpg
Frances Negron-Muntaner,NaN
Luis Negron,NaN
Patrick Ness,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Patrick_Ness_en_los_Premios_Goya_2017.jpg/220px-Patrick_Ness_en_los_Premios_Goya_2017.jpg
Anais Nin,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/George_Leite_and_Ana%C3%AFs_Nin_at_daliel%27s_bookstore_in_Berkeley%2C_CA%2C_1946.jpg/220px-George_Leite_and_Ana%C3%AFs_Nin_at_daliel%27s_bookstore_in_Berkeley%2C_CA%2C_1946.jpg
Achy Obejas,NaN
Frank O'Hara,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Frank_O%27Hara_%28photo_portrait%29.jpg/220px-Frank_O%27Hara_%28photo_portrait%29.jpg
Jamie O'Neill,NaN
Joe Orton,https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Joe_Orton_1964.jpg/220px-Joe_Orton_1964.jpg
Wilfred Owen,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Wilfred_Owen_plate_from_Poems_%281920%29.jpg/235px-Wilfred_Owen_plate_from_Poems_%281920%29.jpg
Morris Panych,NaN
Arleen Pare,NaN
Sophia Parnok,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Sophia_Parnok.jpg/220px-Sophia_Parnok.jpg
Pier Paolo Pasolini,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/PierPaoloPasolini.jpg/250px-PierPaoloPasolini.jpg
Benito Pastoriza Iyodo,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Benito_Pastoriza_Iyodo.jpg/213px-Benito_Pastoriza_Iyodo.jpg
Walter Pater,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Walter-pater-1.jpg/220px-Walter-pater-1.jpg
Fiona Patton,NaN
Robert Patrick,https://upload.wikimedia.org/wikipedia/commons/e/ee/RPatrickCMG.jpg
Karleen Pendleton Jimenez,NaN
Cristina Peri Rossi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Cristina_Peri.jpg/220px-Cristina_Peri.jpg
Fernando Pessoa,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Pessoa_chapeu.jpg/220px-Pessoa_chapeu.jpg
Petronius,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Petronius_Arbiter_by_Bodart_1707.jpg/220px-Petronius_Arbiter_by_Bodart_1707.jpg
Edward O. Phillips,NaN
Janos Pilinszky,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/PilinszkyErettsegikep.png/220px-PilinszkyErettsegikep.png
August von Platen,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/August_von_Platen_by_Moritz_Rugendas.jpg/220px-August_von_Platen_by_Moritz_Rugendas.jpg
Plato,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Plato_Silanion_Musei_Capitolini_MC1377.jpg/220px-Plato_Silanion_Musei_Capitolini_MC1377.jpg
Casey Plett,NaN
Plutarch,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Plutarch_of_Chaeronea-03_%28cropped%29.jpg/250px-Plutarch_of_Chaeronea-03_%28cropped%29.jpg
Sydney Pokorny,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Sydneypokorny2005.jpg/150px-Sydneypokorny2005.jpg
Ljuba Prenner,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Ljuba_Prenner_1929.jpg/220px-Ljuba_Prenner_1929.jpg
Edward Irenaeus Prime-Stevenson,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Eddie_Stevenson1.jpg/220px-Eddie_Stevenson1.jpg
Marcel Proust,https://upload.wikimedia.org/wikipedia/commons/a/a5/Marcel_Proust_1900-2.jpg
Manuel Puig,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Manuel_Puig%2C_1979.jpg/300px-Manuel_Puig%2C_1979.jpg
Andy Quan,NaN
Carol Queen,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Carol_Queen%2C_2006.jpg/220px-Carol_Queen%2C_2006.jpg
D. Michael Quinn,NaN
Cheryl Rainfield,NaN
David Rakoff,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/David_rakoff_2006.jpg/200px-David_rakoff_2006.jpg
Ahmad Danny Ramadan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/DannyRamadan.jpg/220px-DannyRamadan.jpg
Manuel Ramos Otero,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Mrotero.jpg/220px-Mrotero.jpg
James Randi,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Preferred_official_head-shot_from_James_Randi_Educational_Foundation.jpg/220px-Preferred_official_head-shot_from_James_Randi_Educational_Foundation.jpg
Lev Raphael,NaN
Ian Iqbal Rashid,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Writer-Director_Ian_Iqbal_Rashid.jpg/220px-Writer-Director_Ian_Iqbal_Rashid.jpg
David Rayside,NaN
John Rechy,NaN
Riley Redgate,NaN
Paul Reed,NaN
Raziel Reid,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Raziel_Reid.jpg/220px-Raziel_Reid.jpg
Steven Reigns,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Stevenreigns1.jpg/220px-Stevenreigns1.jpg
Mary Renault,https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Mary_Renault.jpg/220px-Mary_Renault.jpg
Josine Reuling,NaN
Gerard Reve,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Gerard_Reve_1969-crop.jpg/220px-Gerard_Reve_1969-crop.jpg
Nina Revoyr,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Nina_Revoyr_%40_BBF_%286160543729%29.jpg/220px-Nina_Revoyr_%40_BBF_%286160543729%29.jpg
Christopher Rice,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Author_Christopher_Rice.jpg/220px-Author_Christopher_Rice.jpg
Adrienne Rich,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Adrienne_Rich_1980.jpg/160px-Adrienne_Rich_1980.jpg
Christopher Richards,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Christopher_Richards_Headshot.jpg/200px-Christopher_Richards_Headshot.jpg
Nancy Richler,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Nancy_Richler.jpg/150px-Nancy_Richler.jpg
Arthur Rimbaud,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Rimbaud.PNG/220px-Rimbaud.PNG
Robert Rodi,NaN
Nelson Rodrigues,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Nelson_Rodrigues_%281971%29.tif/lossy-page1-250px-Nelson_Rodrigues_%281971%29.tif.jpg
Paul Rogers,NaN
Ned Rorem,NaN
Sinclair Ross,NaN
Jeffrey Round,NaN
Andrea Routley,NaN
Andre Roy,NaN
Shawn Stewart Ruff,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Shawn_Stewart_Ruff.jpg/220px-Shawn_Stewart_Ruff.jpg
Muriel Rukeyser,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Muriel_Rukeyser_by_Imogen_Cunningham%2C_1945.jpg/220px-Muriel_Rukeyser_by_Imogen_Cunningham%2C_1945.jpg
Jane Rule,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/Jane_Rule_by_Alex_Waterhouse-Hayward.jpg/220px-Jane_Rule_by_Alex_Waterhouse-Hayward.jpg
Joanna Russ,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Joanna_Russ_obit.jpg/220px-Joanna_Russ_obit.jpg
Elizabeth Ruth,NaN
Patrick Ryan,NaN
Geoff Ryman,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Geoff_Ryman_at_%C3%85con.jpg/220px-Geoff_Ryman_at_%C3%85con.jpg
Umberto Saba,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Umberto_Saba.jpg/220px-Umberto_Saba.jpg
Vita Sackville-West,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Victoria-mary-sackville-west-vita.jpg/220px-Victoria-mary-sackville-west-vita.jpg
Marquis de Sade,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Marquis_de_sade.jpg/220px-Marquis_de_sade.jpg
Benjamin Alire Saenz,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Benjamin_Saenz_2016.jpg/220px-Benjamin_Saenz_2016.jpg
Assotto Saint,NaN
George Santayana,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/George_Santayana.jpg/220px-George_Santayana.jpg
Mayra Santos-Febres,NaN
Sappho,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Malarz_Safony_-_Kalpis_wykonana_technik%C4%85_Six.jpg/220px-Malarz_Safony_-_Kalpis_wykonana_technik%C4%85_Six.jpg
Severo Sarduy,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Severo_Sarduy.jpg/220px-Severo_Sarduy.jpg
Frank Sargeson,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Frank_Sargeson.jpg/220px-Frank_Sargeson.jpg
May Sarton,https://upload.wikimedia.org/wikipedia/en/thumb/2/2b/May_Sarton.jpg/220px-May_Sarton.jpg
Dan Savage,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Dan_Savage_at_Inforum_%289458016311%29_%28cropped_to_Savage%29.jpg/220px-Dan_Savage_at_Inforum_%289458016311%29_%28cropped_to_Savage%29.jpg
Gail Scott,NaN
Sarah Schulman,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Sarah_Schulman_280603.jpg/220px-Sarah_Schulman_280603.jpg
Gregory Scofield,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Gregory_Scofield_author_photo.jpg/220px-Gregory_Scofield_author_photo.jpg
Manda Scott,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/MandaScott.jpg/220px-MandaScott.jpg
Sarah Scott,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Sarah_Scott%2C_1744.png/220px-Sarah_Scott%2C_1744.png
David Sedaris,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/David_Sedaris-4724.jpg/220px-David_Sedaris-4724.jpg
Shyam Selvadurai,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/ShyamSelvadurai.jpg/220px-ShyamSelvadurai.jpg
Maurice Sendak,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Maurice-Sendak_portrait2.jpg/220px-Maurice-Sendak_portrait2.jpg
Anna Seward,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Anna_Seward_by_Tilly_Kettle.jpg/220px-Anna_Seward_by_Tilly_Kettle.jpg
Merry Shannon,NaN
Bradford Shellhammer,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Bradford_Shellhammer_New_Year%27s_Eve_2009.png/220px-Bradford_Shellhammer_New_Year%27s_Eve_2009.png
Randy Shilts,NaN
Vivek Shraya,NaN
Andy Sinclair,NaN
Edith Sitwell,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Roger_Fry_-_Edith_Sitwell.jpg/220px-Roger_Fry_-_Edith_Sitwell.jpg
Michael Sledge,NaN
Ali Smith,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/AliSmith2011.png/220px-AliSmith2011.png
Michael V. Smith,NaN
Kamal Al-Solaylee,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Kamal_Al-Solaylee_-_Eden_Mills_Writers_Festival_-_2016_%28DanH-0638%29_%28cropped%29.jpg/220px-Kamal_Al-Solaylee_-_Eden_Mills_Writers_Festival_-_2016_%28DanH-0638%29_%28cropped%29.jpg
Pablo Soler Frost,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Pablo_Soler_Frost.jpg/220px-Pablo_Soler_Frost.jpg
Susan Sontag,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Susan_Sontag_1979_%C2%A9Lynn_Gilbert_%28headshot%29.jpg/220px-Susan_Sontag_1979_%C2%A9Lynn_Gilbert_%28headshot%29.jpg
Tom Spanbauer,NaN
Sir Stephen Spender,https://upload.wikimedia.org/wikipedia/en/thumb/a/a5/Stephen_Spender.jpg/220px-Stephen_Spender.jpg
Jack Spicer,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Jack_Spicer.jpg/220px-Jack_Spicer.jpg
Rae Spoon,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Rae-Spoon-Nov-2013.jpg/220px-Rae-Spoon-Nov-2013.jpg
Gertrude Stein,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Gertrude_Stein_1935-01-04.jpg/220px-Gertrude_Stein_1935-01-04.jpg
Andreas Steinhofel,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Andreas_Steinh%C3%B6fel_liest_Anders_auf_der_Frankfurter_Buchmesse_2014.JPG/220px-Andreas_Steinh%C3%B6fel_liest_Anders_auf_der_Frankfurter_Buchmesse_2014.JPG
Kent Stetson,NaN
Charles Warren Stoddard,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Charles_Warren_Stoddard.jpg/220px-Charles_Warren_Stoddard.jpg
Aryeh Lev Stollman,NaN
Lytton Strachey,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Carrington_-_Strachey.jpg/220px-Carrington_-_Strachey.jpg
Susan Stryker,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Susan_Stryker_at_Trans_March_San_Francisco_20170623-6594.jpg/220px-Susan_Stryker_at_Trans_March_San_Francisco_20170623-6594.jpg
Douglas Stuart,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Douglas_Stuart.png/220px-Douglas_Stuart.png
