,Name,Year Born,Nationality,Genre,Notable Works,OnTour,Link,Summary,id,BookConnections
45,Timothy Findley,1930,Canadian,"novelist, playwright","The Wars, Headhunter, Elizabeth Rex",False,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Timothy_findley.jpg/220px-Timothy_findley.jpg,,45,
46,Michael Thomas Ford,1968,American,"novelist, non-fiction","Alec Baldwin Doesn't Love Me, That's Mr. Faggot to You",False,,,46,
47,Brian Francis,1971,Canadian,novelist,Fruit,False,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Brian_Trent_Francis_speaking_%28cropped%29.jpg/220px-Brian_Trent_Francis_speaking_%28cropped%29.jpg,,47,
48,Brian Francis Slattery,1971,Canadian,novelist,Fruit,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/220821,,48,
49,Patrick Gale,1962,British,novelist,Rough Music,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/9586,,49,
50,Nancy Garden,1938,American,novelist,Annie on My Mind,False,,,50,
51,Jean Genet,1910,French,"novelist, playwright, poet",Our Lady of the Flowers,False,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/JeanGenet-HansKoechler1983-cropped.jpg/250px-JeanGenet-HansKoechler1983-cropped.jpg,,51,"169,170,171,172,173,174,175"
52,Michael Golding,None,American,"novelist, screenwriter","A Poet of the Invisible World, Silk",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2034305,,52,
53,Garth Greenwell,1978,American,novelist,What Belongs to You,False,,,53,
54,Doris Grumbach,1918,American,"novelist, biographer, essayist",Chamber Music,False,,,54,"176,177,178,179,180,181,182,183,184,185,186,187,188,189,190"
55,Herve Guibert,1955,French,novelist,L'homme blesse (screenplay that he co-wrote),False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2217298,,55,191
56,Saleem Haddad,1983,Kuwaiti-British,novelist,Guapa,False,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Saleem_Haddad_selfie.jpg/220px-Saleem_Haddad_selfie.jpg,,56,
57,Radclyffe Hall,1880,English,novelist,The Well of Loneliness,False,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Radclyffe_Hall%2C_ca._1930.jpg/220px-Radclyffe_Hall%2C_ca._1930.jpg,,57,
58,Richard Hallion,1926,American,"novelist, short stories, drama, criticism",Couplings,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/123970,,58,
59,Richard Hallstein,1926,American,"novelist, short stories, drama, criticism",Couplings,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2170797,,59,
60,Richard Hallas,1926,American,"novelist, short stories, drama, criticism",Couplings,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2246871,,60,
61,Aaron Hamburger,1973,American,"novelist, short story writer","The View from Stalin's Head (short story collection), Faith for Beginners (",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/55116,,61,
62,Joseph Hansen,1923,American,"novelist, poet",Series of novels featuring private eye Dave Brandstetter,False,https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/Joseph_Hansen.jpg/220px-Joseph_Hansen.jpg,,62,
63,Robin Hardy,1952,Canadian,"novelist, journalist, founding member of Publishing Triangle","Freelance contributor to The Advocate, Village Voice and Penthouse",False,,,63,
64,Adam Haslett,1970,American,"novelist, short story writer","You Are Not A Stranger Here, Imagine Me Gone",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/12202,,64,
65,Philip Hensher,1965,English,"novelist, critic, journalist",The Mulberry Empire,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/12674,,65,
66,Catherine Hernandez,None,Canadian,"playwright, novelist",Scarboorough,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2199233,,66,
67,Tomson Highway,1951,Canadian,"novelist, playwright",The Rez Sisters and Dry Lips Oughta Move to Kapuskasing (plays),False,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Tomson_Highway_2018_Margaret_Laurence_Lecture_CR_Kaparica_Wiki_Commons_%28cropped%29.jpg/220px-Tomson_Highway_2018_Margaret_Laurence_Lecture_CR_Kaparica_Wiki_Commons_%28cropped%29.jpg,,67,"192,193,194,195,196,197,198,199,200,201,202,203,204,205,206"
68,Thorn Kief Hillsbery,None,American,novelist,What We Do Is Secret,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/59876,,68,"207,208"
69,Joris-Karl Huysmans,1848,French,novelist,"Against the Grain (À rebours, 1884)",False,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Joris_Karl_Huysmans.jpg/220px-Joris_Karl_Huysmans.jpg,,69,"209,210,211,212,213,214,215,216,217,218,219,220,221,222,223"
70,Christopher Isherwood,1904,English,"novelist, autobiographer","I Am a Camera, Down There on a Visit, A Single Man, Christopher and His Kind",False,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Christopher_Isherwood_en_route_to_China%2C_1938._%287893554712%29_%28cropped1%29.jpg/220px-Christopher_Isherwood_en_route_to_China%2C_1938._%287893554712%29_%28cropped1%29.jpg,,70,
71,Tove Jansson,1914,Finnish,"novelist, painter, illustrator, comic strip author",Moomins series,False,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Tove_Jansson_in_1967_%28cropped%29.jpg/220px-Tove_Jansson_in_1967_%28cropped%29.jpg,,71,224
72,Craig Johnson,None,American,"screenwriter, film director","True Adolescents, The Skeleton Twins",False,,,72,"225,226"
73,Randall Kenan,1963,American,writer,"Let the Dead Bury Their Dead, A Visitation of Spirits",False,,,73,
74,Bill Konigsberg,1970,American,"sportswriter, young adult literature","Out of the Pocket, Openly Straight",False,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Bill_Konigsberg_2015.jpg/220px-Bill_Konigsberg_2015.jpg,,74,
75,Larry Kramer,1935,American,"novelist, journalist, playwright","Faggots, The Normal Heart",False,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Larry_Kramer_2010_Photo_-_David_Shankbone.jpg/220px-Larry_Kramer_2010_Photo_-_David_Shankbone.jpg,,75,
76,Selma Lagerlof,1859,Swedish,"novelist, playwright",Gosta Berling's Saga,False,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Selma_Lagerl%C3%B6f.jpg/220px-Selma_Lagerl%C3%B6f.jpg,,76,
77,D. H. Lawrence,1885,English,"novelist, playwright","The Rainbow, Lady Chatterley's Lover",False,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/D_H_Lawrence_passport_photograph.jpg/220px-D_H_Lawrence_passport_photograph.jpg,,77,"73,227,228,229,230,231,232,233,234,235,236,237"
78,Elizabeth A. Lynn,1946,American,novelist,Chronicles of Tornor,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/232648,,78,
79,Ann-Marie MacDonald,1957,Canadian,"playwright, novelist","Goodnight Desdemona (Good Morning Juliet), Fall on Your Knees, The Way the Crow Flies",False,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Anne_Marie_MacDonald_-_Eden_Mills_Writers_Festival_-_2015_%28DanH-6084%29_%28cropped%29.jpg/220px-Anne_Marie_MacDonald_-_Eden_Mills_Writers_Festival_-_2015_%28DanH-6084%29_%28cropped%29.jpg,,79,"238,239,240,241,242,243,244"
80,Klaus Mann,1906,German,"novelist, short story writer",Mephisto (novel),False,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Klaus_Mann.jpg/220px-Klaus_Mann.jpg,,80,245
81,Daphne Marlatt,1942,Canadian,"poet, novelist","Ana Historic, The Given, This Tremor Love Is",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/80847,,81,"246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262"
82,W. Somerset Maugham,1874,English,"playwright, novelist",Of Human Bondage,False,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Maugham_retouched.jpg/220px-Maugham_retouched.jpg,,82,
83,Armistead Maupin,1944,American,novelist,Tales of the City,False,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/ArmisteadMaupinChristopherTurnerHWOFMay2013.jpg/220px-ArmisteadMaupinChristopherTurnerHWOFMay2013.jpg,,83,"263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285"
84,Richard McCann,1949,American,"short story writer, poet",Ghost Letters (poetry collection),False,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Richard_McCann_1272037.jpg/220px-Richard_McCann_1272037.jpg,,84,
85,"Michael McDowell, Ph.D",1950,American,"novelist, screenwriter",Beetlejuice screenplay and story,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/19858,,85,
