Ind,Name,Year Born,Nationality,Genre,Notable Works,OnTour,Link,Summary
135,Catherine Hernandez,None,Canadian,"playwright, novelist",Scarboorough,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2199233,
138,Tomson Highway,1951,Canadian,"novelist, playwright",The Rez Sisters and Dry Lips Oughta Move to Kapuskasing (plays),False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/12947,
139,Thorn Kief Hillsbery,None,American,novelist,What We Do Is Secret,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/59876,
149,Joris-Karl Huysmans,1848,French,novelist,"Against the Grain (À rebours, 1884)",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/237394,
152,Christopher Isherwood,1904,English,"novelist, autobiographer","I Am a Camera, Down There on a Visit, A Single Man, Christopher and His Kind",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/14135,
153,Tove Jansson,1914,Finnish,"novelist, painter, illustrator, comic strip author",Moomins series,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/112199,
156,Craig Johnson,None,American,"screenwriter, film director","True Adolescents, The Skeleton Twins",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/230776,
157,Randall Kenan,1963,American,writer,"Let the Dead Bury Their Dead, A Visitation of Spirits",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/15393,
162,Bill Konigsberg,1970,American,"sportswriter, young adult literature","Out of the Pocket, Openly Straight",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/229106,
163,Larry Kramer,1935,American,"novelist, journalist, playwright","Faggots, The Normal Heart",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/16228,
166,Selma Lagerlof,1859,Swedish,"novelist, playwright",Gosta Berling's Saga,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/16510,
167,D. H. Lawrence,1885,English,"novelist, playwright","The Rainbow, Lady Chatterley's Lover",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/62895,
173,Elizabeth A. Lynn,1946,American,novelist,Chronicles of Tornor,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/232648,
174,Ann-Marie MacDonald,1957,Canadian,"playwright, novelist","Goodnight Desdemona (Good Morning Juliet), Fall on Your Knees, The Way the Crow Flies",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/54001,
177,Klaus Mann,1906,German,"novelist, short story writer",Mephisto (novel),False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/18902,
181,Daphne Marlatt,1942,Canadian,"poet, novelist","Ana Historic, The Given, This Tremor Love Is",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/80847,
186,W. Somerset Maugham,1874,English,"playwright, novelist",Of Human Bondage,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/19481,
187,Armistead Maupin,1944,American,novelist,Tales of the City,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/19483,
188,Richard McCann,1949,American,"short story writer, poet",Ghost Letters (poetry collection),False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/46634,
193,"Michael McDowell, Ph.D",1950,American,"novelist, screenwriter",Beetlejuice screenplay and story,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/19858,
194,Yukio Mishima,1925,Japanese,"poet, playwright, novelist",Confessions of a Mask,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/20849,
195,Ethan Mordden,1949,American,"novelist, essayist","""Buddies"" cycle of novels",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/21168,
196,Erwin Mortier,1965,Belgian,"novelist, poet, essayist, translator",While the Gods Were Sleeping,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/221143,
206,Fiona Patton,1962,Canadian,novelist,The Branion Realm (book series),False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/233210,
207,Petronius,2766,Roman,novelist,The Satyricon,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2058579,
218,"Lev Raphael, Ph.D.",1954,American,"novelist, short stories, memoir, mysteries","Dancing on Tisha B'Av, Winter Eyes",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2003319,
219,Gerard Reve,1923,Dutch,writer,"Op weg naar het einde, Nader tot U",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2137445,
222,Robert Rodi,1956,American,writer,"Codename: Knockout, Kept Boy",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/113506,
223,Paul Rogers,1936,American,novelist,Saul's Book,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/110169,
224,Sinclair Ross,1908,Canadian,novelist,As For Me and My House,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/26246,
225,Patrick Ryan,1965,American,"short story writer, novelist","The Dream Life of Astronauts, Send Me",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/60359,
226,Umberto Saba,1883,Italian,"poet, novelist",Songbook,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2142708,
229,Marquis de Sade,1740,French,"novelist, philosopher, playwright","The 120 Days of Sodom, Justine, Philosophy in the Bedroom, Juliette",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/6711,
230,Benjamin Alire Sáenz,1954,American,novelist,Everything Begins and Ends at the Kentucky Club,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2175355,
231,George Santayana,1863,Spanish-American,"novelist, poet, philosopher",The Realms of Being,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2221078,
232,Sarah Schulman,1958,American,"novelist, historian, playwright","Stagestruck: Theater, AIDS, and the Marketing of Gay America",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2227376,
