,name,image,origin,publication_types,founded,parent_comp,hq,website,AuthorConnections,BookConnections,id
234,Harlequin Enterprises,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Harlequin_Enterprises_logo.png/220px-Harlequin_Enterprises_logo.png,Canada,Books,Winnipeg,HarperCollins,Toronto,www.harlequin.com,,,234
235,Harper,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Harper_and_Brothers_publisher_mark_1895.jpg/220px-Harper_and_Brothers_publisher_mark_1895.jpg,Unknown,Unknown,"March 6, 1817; 204 years ago (1817-03-06) (as J. & J. Harper)",HarperCollins,New York City,Not available,"27,31,51,83,110","122,124,130,169,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,370,377",235
236,Harper & Row,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Harper_and_Brothers_publisher_mark_1895.jpg/220px-Harper_and_Brothers_publisher_mark_1895.jpg,Unknown,Unknown,"March 6, 1817; 204 years ago (1817-03-06) (as J. & J. Harper)",HarperCollins,New York City,Not available,,,236
237,HarperCollins,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com,"83,110","263,273,275,277,377",237
238,HarperPrism,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com,,,238
239,HarperCollins,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com,"83,110","263,273,275,277,377",239
240,HarperTrophy,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com,,,240
241,HarperCollins,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com,"83,110","263,273,275,277,377",241
242,Harvard University Press,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Harvard_univ_press.svg/220px-Harvard_univ_press.svg.png,United States,Academic publishing,"January 13, 1913 (1913-01-13)",Harvard University,"Cambridge, Massachusetts",www.hup.harvard.edu,,,242
243,Harvest House,https://upload.wikimedia.org/wikipedia/en/thumb/9/95/Harvest_House_logo.jpg/100px-Harvest_House_logo.jpg,United States,Books,1974,Unkown,"Eugene, Oregon",harvesthousepublishers.com,,,243
244,Harvill Press at Random House,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available,,,244
245,Harvill Secker,https://upload.wikimedia.org/wikipedia/en/1/1f/Harvil_Secker_logo.jpg,United Kingdom,Books,2005,Penguin Random House,London,www.penguin.co.uk/company/publishers/vintage/harvill-secker.html,,,245
246,Hawthorne Books,-1,United States,books,2001,Dzanc Books,Portland,www.hawthornebooks.com,,,246
