name,image,origin,publication_types,founded,parent_comp,hq,website
The Chicken House,-1,United Kingdom,Books,2000,Scholastic,Frome,www.chickenhousebooks.com
Church House Publishing,-1,United Kingdom,Books,1986,Archbishops' Council,"Church House, Westminster",www.chpublishing.co.uk
CLC International,https://upload.wikimedia.org/wikipedia/en/a/a5/CLC_International_Logo.gif,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
Clutag Press,-1,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
Collins Crime Club,https://upload.wikimedia.org/wikipedia/en/d/d7/Collins_Crime_Club_logo.jpg,United Kingdom,Books,6 May 1930,"William Collins, Sons",Unknown,Not available
Collins Education,-1,United Kingdom,Books,1819,HarperCollins,"Glasgow, Scotland (1819)",collins.co.uk
Conran Octopus,https://upload.wikimedia.org/wikipedia/en/7/7f/Conran_logo.png,Unknown,Unknown,Unknown,Octopus Publishing Group,Unknown,www.octopusbooks.co.uk/conran
Constable & Robinson,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Constable_%26_Robinson_Ltd_logo.jpg/200px-Constable_%26_Robinson_Ltd_logo.jpg,United Kingdom,Books,"1999 (Constable & Co. founded 1795, Robinson Publishing Ltd founded 1983)","Little, Brown Book Group",Russell Square,www.constablerobinson.com
Continuum International Publishing Group,-1,United Kingdom,Books,1999 (1999),Unkown,"London, New York City",bloomsbury.com
Cornerhouse,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Cornerhouse_2009.jpg/220px-Cornerhouse_2009.jpg,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
Coronet Books,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Coronet_Logo.tif/lossy-page1-200px-Coronet_Logo.tif.jpg,United Kingdom,Unknown,1966,Hodder & Stoughton,"London, England",https://www.hodder.co.uk/imprint/hodder/coronet/page/hs-imprint-coronet/
Curwen Press,-1,United Kingdom,"
Sheet music
books
posters
artists' prints
",1863 (1863),Unkown,Unknown,Not available
Darf Publishers,-1,United Kingdom,Books,1980,Dar Fergiani publishing house,West Hampstead,http://darfpublishers.co.uk/
David Fickling Books,-1,United Kingdom,books,Unknown,Unkown,Oxford,www.davidficklingbooks.com
DCD Publishing,-1,Unknown,Unknown,2008,Unkown,Unknown,Not available
Dedalus Books,-1,United Kingdom,Books,30 November 1983,Unkown,Sawtry,www.dedalusbooks.com
DK (publisher),https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/DK_%282020%29.svg/150px-DK_%282020%29.svg.png,United Kingdom,Unknown,London,Penguin Random House,[1],www.dk.com
The Do Book Company,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/The_Do_Book_Company_Logo.png/220px-The_Do_Book_Company_Logo.png,United Kingdom,Books,2013,Unkown,Shoreditch,www.thedobook.co
Early English Text Society,https://upload.wikimedia.org/wikipedia/en/6/6a/EETS_emblem.jpg,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
Earthscan,-1,United Kingdom,Books,1982,Routledge,Unknown,www.routledge.com/sustainability/
Edward Elgar Publishing,-1,United Kingdom,Books,1986,Unkown,Cheltenham,www.e-elgar.com
Edwin Mellen Press,https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Mellen_logo.jpg/200px-Mellen_logo.jpg,United States,Books,1972,Unkown,Lewiston,www.mellenpress.com
Eel Pie Publishing,-1,Unknown,Unknown,1970,Unkown,Unknown,Not available
Eland Books,-1,United Kingdom,Books,1982; 39 years ago (1982),Unkown,London,www.travelbooks.co.uk
