,Name,OnTour,Summary,Link,Lifetime,Nationality,Genre,Notable works,References
105,Ellen Kushner,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/220680,b. 1955,American,writer,Thomas the Rhymer,[255]
106,David Leavitt,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/17036,b. 1961,American,novelist,The Lost Language of Cranes,[9][39]
107,David Leavitt,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/112068,b. 1961,American,novelist,The Lost Language of Cranes,[9][39]
108,David Leavitt,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2247114,b. 1961,American,novelist,The Lost Language of Cranes,[9][39]
109,Klaus Mann,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/18902,1906–1949,German,"novelist, short story writer",Mephisto (novel),[9]
110,Thomas Mann,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/18908,1875–1955,German,"novelist, short story writer, essayist",Death in Venice,[9]
111,Thomas Mann,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2187351,1875–1955,German,"novelist, short story writer, essayist",Death in Venice,[9]
112,Thomas Mann,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2238359,1875–1955,German,"novelist, short story writer, essayist",Death in Venice,[9]
113,Richard Mason,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/19340,b. 1977,South African/British,novelist,The Drowning People,[282]
114,Richard Mason,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2182454,b. 1977,South African/British,novelist,The Drowning People,[282]
115,W. Somerset Maugham,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/19481,1874–1965,English,"playwright, novelist",Of Human Bondage,[9]
116,Armistead Maupin,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/19483,b. 1944,American,novelist,Tales of the City,[9]
117,Carson McCullers,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/19797,1917–1967,American,novelist,Reflections in a Golden Eye,[9]
