,Name,OnTour,Summary,Link,Lifetime,Nationality,Genre,Notable works,References
221,David Levithan,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/54093,1972–,American,novelist,Boy Meets Boy,[266]
222,David Levithan,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2174062,1972–,American,novelist,Boy Meets Boy,[266]
223,Aaron Hamburger,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/55116,b. 1973,American,"novelist, short story writer","The View from Stalin's Head (short story collection), Faith for Beginners (",[109]
224,Plutarch,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/55366,ca 46-ca 120,Greek,"historian, biographer, essayist",Parallel Lives,[9]
225,Sappho,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/55468,ca 630? B.C.,Greek,poet,"""Ode to Aphrodite"" (poem)",[9]
226,Catullus,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/55823,ca 85-ca 55 B.C.,Roman,poet,Catullus et in eum commentarius,[9]
227,Plato,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/56798,427-327 B.C.,Greek,philosopher,Symposium,[9]
228,Virgil,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/56799,70-19 B.C.,Roman,poet,Aeneid,[9]
229,Tony Kushner,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/56879,b. 1956,American,playwright,Angels in America: A Gay Fantasia on National Themes,[78]
230,Tony Kushner,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2125697,b. 1956,American,playwright,Angels in America: A Gay Fantasia on National Themes,[78]
231,Horace,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/57140,65-8 B.C.,Roman,poet,Odes,[9]
232,Allen Ginsberg,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/58073,1926–1997,American,poet,Howl,[9]
233,Allen Ginsberg,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/112274,1926–1997,American,poet,Howl,[9]
234,Allen Ginsberg,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/147489,1926–1997,American,poet,Howl,[9]
235,Allen Ginsberg,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2246851,1926–1997,American,poet,Howl,[9]
236,Michael Carroll,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/59406,b. ?,American,short stories,Little Reef,[88]
237,Michael Carroll,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/111864,b. ?,American,short stories,Little Reef,[88]
238,Michael Carroll,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/303531,b. ?,American,short stories,Little Reef,[88]
239,Michael Carroll,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2213543,b. ?,American,short stories,Little Reef,[88]
240,Thorn Kief Hillsbery,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/59876,b. ?,American,novelist,What We Do Is Secret,[109]
241,Patrick Ryan,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/60359,b. 1965,American,"short story writer, novelist","The Dream Life of Astronauts, Send Me",[109]
242,Poppy Z. Brite,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/60570,b. 1967,American,novelist,"Liquor, Prime, and Soul Kitchen",[9]
243,Emma Donoghue,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/61996,b. 1969,Irish/Canadian,"novelist, short story writer",Room,[141]
244,Emma Donoghue,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2174945,b. 1969,Irish/Canadian,"novelist, short story writer",Room,[141]
245,D. H. Lawrence,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/62895,1885–1930,English,"novelist, playwright","The Rainbow, Lady Chatterley's Lover",[9]
246,Jaime Manrique,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/65550,b. 1949,Colombian-American,"poet, journalist","Latin Moon in Manhattan, Eminent Maricones",[8][232]
247,Gregory Maguire,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/67492,b. 1954,American,novelist,Wicked: The Life and Times of the Wicked Witch of the West,[276]
248,Gregory Maguire,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/110226,b. 1954,American,novelist,Wicked: The Life and Times of the Wicked Witch of the West,[276]
249,John Ibbitson,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/68603,b. 1955,Canadian,"journalist, playwright, children's writer","1812: Jeremy's War, The Landing, The Big Shift: The Seismic Change in Canadian Politics, Business, and Culture and What It Means for Our Future",[228]
250,John Ibbitson,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2200375,b. 1955,Canadian,"journalist, playwright, children's writer","1812: Jeremy's War, The Landing, The Big Shift: The Seismic Change in Canadian Politics, Business, and Culture and What It Means for Our Future",[228]
251,John Boyne,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/70373,b. 1971,Irish,novelist,The Boy in the Striped Pyjamas,[65]
252,John Boyne,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/159453,b. 1971,Irish,novelist,The Boy in the Striped Pyjamas,[65]
253,John Boyne,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2146908,b. 1971,Irish,novelist,The Boy in the Striped Pyjamas,[65]
254,John Boyne,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2172589,b. 1971,Irish,novelist,The Boy in the Striped Pyjamas,[65]
255,E. M. Forster,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/71918,1879–1970,English,novelist,"Maurice, A Passage to India, A Room With A View, Howards End",[175]
256,E. M. Forster,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/112197,1879–1970,English,novelist,"Maurice, A Passage to India, A Room With A View, Howards End",[175]
257,E. M. Forster,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2150539,1879–1970,English,novelist,"Maurice, A Passage to India, A Room With A View, Howards End",[175]
258,T. S. Eliot,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/71948,1888–1965,English,poet,The Waste Land,[9]
259,John Horne Burns,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/72509,1916–1953,American,novelist,The Gallery,[9]
260,David Plante,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/73223,b. 1940,American,novelist,"Francoeur Trilogy--The Family, The Country and The Woods",[39]
261,David Plante,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/119881,b. 1940,American,novelist,"Francoeur Trilogy--The Family, The Country and The Woods",[39]
262,David Plante,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2148649,b. 1940,American,novelist,"Francoeur Trilogy--The Family, The Country and The Woods",[39]
263,John Glassco,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/73227,1909-1981,Canadian,poet,Memoirs of Montparnasse,[6][18]
264,Michelle Tea,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/73370,b. 1971,American,"author, poet, and literary arts organizer",The Passionate Mistakes and Intricate Corruption of One Girl in America,[397]
265,Michelle Tea,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2235889,b. 1971,American,"author, poet, and literary arts organizer",The Passionate Mistakes and Intricate Corruption of One Girl in America,[397]
266,Martin Wilson,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/74696,b. 1973,American,fiction,What They Always Tell Us,[433]
267,Tanya Huff,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/76866,b. 1957,Canadian,novelist,Blood Books series,[224]
268,Tanya Huff,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/227418,b. 1957,Canadian,novelist,Blood Books series,[224]
269,Tanya Huff,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2213815,b. 1957,Canadian,novelist,Blood Books series,[224]
270,Howard Sturgis,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/79136,1855–1920,Anglo-American,novelist,"Tim: A Story of School Life, All That Was Possible",[9]
271,Daphne Marlatt,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/80847,b. 1942,Canadian,"poet, novelist","Ana Historic, The Given, This Tremor Love Is",[67]
272,Evan Fallenberg,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/85407,b. 1961,American-Israeli,novelist,"Light Fell, When We Danced on Water",[162]
273,Evan Fallenberg,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/141685,b. 1961,American-Israeli,novelist,"Light Fell, When We Danced on Water",[162]
274,Evan Fallenberg,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2172582,b. 1961,American-Israeli,novelist,"Light Fell, When We Danced on Water",[162]
275,Patrick Ness,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/87387,b. 1971,American,novelist,"Chaos Walking, Monsters of Men, A Monster Calls",[302]
276,Patrick Ness,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/242155,b. 1971,American,novelist,"Chaos Walking, Monsters of Men, A Monster Calls",[302]
277,Patrick Ness,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2172286,b. 1971,American,novelist,"Chaos Walking, Monsters of Men, A Monster Calls",[302]
278,Michael Thomas Ford,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/93828,b. 1968,American,"novelist, non-fiction","Alec Baldwin Doesn't Love Me, That's Mr. Faggot to You",[174]
279,Mariko Tamaki,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/99707,b. 1975,Canadian,graphic novelist,Skim,[393]
280,Mariko Tamaki,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/253293,b. 1975,Canadian,graphic novelist,Skim,[393]
281,Mariko Tamaki,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2136524,b. 1975,Canadian,graphic novelist,Skim,[393]
282,Mariko Tamaki,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2154152,b. 1975,Canadian,graphic novelist,Skim,[393]
283,Mariko Tamaki,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2203802,b. 1975,Canadian,graphic novelist,Skim,[393]
284,Michael Rowe,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/99903,b. 1962,Canadian,journalist,"Writing Below the Belt: Conversations with Erotic Authors, Other Men's Sons",[350]
285,Carol Ann Duffy,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/102489,b. 1955,Scottish,"poet, playwright",Standing Female Nude,[149]
286,Carol Ann Duffy,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/229776,b. 1955,Scottish,"poet, playwright",Standing Female Nude,[149]
287,Audre Lorde,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/105777,1934–1992,American,"poet, essayist","Zami: A New Spelling of My Name, Sister Outsider",[9]
288,Paul Rogers,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/110169,1936-1984,American,novelist,Saul's Book,[345]
289,Silas House,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/110274,b. 1971,American,"novelist, journalist",[1],
290,Silas House,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2246881,b. 1971,American,"novelist, journalist",[1],
291,Sylvia Townsend Warner,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/111225,1893–1978,English,"novelist, poet, activist",A Moral Ending and Other Stories,[9]
292,Sylvia Townsend Warner,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2197264,1893–1978,English,"novelist, poet, activist",A Moral Ending and Other Stories,[9]
293,Colette,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/111245,1873–1954,French,novelist,Claudine series,[9]
294,Ivy Compton-Burnett,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/111263,1884–1969,English,writer,Manservant and Maidservant,[9]
295,Susan Sontag,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/111277,1933–2004,American,"novelist, essayist",AIDS and Its Metaphors,[9]
296,Susan Sontag,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2127374,1933–2004,American,"novelist, essayist",AIDS and Its Metaphors,[9]
297,Susan Sontag,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2189607,1933–2004,American,"novelist, essayist",AIDS and Its Metaphors,[9]
298,Susan Sontag,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2239888,1933–2004,American,"novelist, essayist",AIDS and Its Metaphors,[9]
299,Jean Genet,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/112020,1910–1986,French,"novelist, playwright, poet",Our Lady of the Flowers,[9]
300,Jean Cocteau,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/112117,1889–1963,French,"poet, novelist, dramatist",La Voix humaine,[9]
301,Jean Cocteau,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/174892,1889–1963,French,"poet, novelist, dramatist",La Voix humaine,[9]
302,Angus Wilson,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/112120,1913–1991,English,author,Hemlock and After,[9]
303,Tove Jansson,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/112199,1914–2001,Finnish,"novelist, painter, illustrator, comic strip author",Moomins series,[236]
304,Pier Paolo Pasolini,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/112301,1922–1975,Italian,"novelist, playwright","Ragazzi di vita, Una vita violenta",[9]
305,Pier Paolo Pasolini,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/184712,1922–1975,Italian,"novelist, playwright","Ragazzi di vita, Una vita violenta",[9]
306,Robert Rodi,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/113506,b. 1956,American,writer,"Codename: Knockout, Kept Boy",[343][344]
307,Monique Wittig,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/120284,1935–2003,French,philosopher,Le Corps Lesbien,[9]
308,Joanna Russ,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/120286,b. 1937,American,science fiction,The Female Man,[9][352]
309,Joanna Russ,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2197014,b. 1937,American,science fiction,The Female Man,[9][352]
310,Doris Grumbach,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/120347,b. 1918,American,"novelist, biographer, essayist",Chamber Music,[9]
311,Leslie Feinberg,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/120389,1949–2014,American,"novelist, non-fiction",Stone Butch Blues,[165]
312,Michael Bronski,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/121931,b. 1949,American,historian,A Queer History of the United States,[73]
313,Michael Bronski,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2226071,b. 1949,American,historian,A Queer History of the United States,[73]
314,Mark Doty,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/123559,b. 1953,American,poet and memoirist,"Heaven's Coast, Fire to Fire",[144]
315,Heinrich von Kleist,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/140589,1777–1811,Prussian,"poet, dramatist, short story writer, and novelist","The Broken Jug, The Marquise of O, Michael Kohlhaas, Penthesilea, The Prince of Homburg",[9]
316,Heinrich von Kleist,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/185450,1777–1811,Prussian,"poet, dramatist, short story writer, and novelist","The Broken Jug, The Marquise of O, Michael Kohlhaas, Penthesilea, The Prince of Homburg",[9]
317,Brian Francis,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/143367,b. 1971,Canadian,novelist,Fruit,[177]
318,Paul Goodman,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/156946,1911–1972,American,poet,"Growing Up Absurd, The Community of Scholars,",[9]
319,Paul Goodman,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2135342,1911–1972,American,poet,"Growing Up Absurd, The Community of Scholars,",[9]
320,Robert Duncan,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/157187,1919–1988,American,poet,"The Opening of the Field, Roots and Branches, and Bending the Bow",[9]
321,Dan Savage,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/159326,b. 1964,American,"journalist, editor","Advice column Savage Love, Skipping Towards Gomorrah: The Seven Deadly Sins and the Pursuit of Happiness in America",[360][361][362][363][364]
322,Dan Savage,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/230998,b. 1964,American,"journalist, editor","Advice column Savage Love, Skipping Towards Gomorrah: The Seven Deadly Sins and the Pursuit of Happiness in America",[360][361][362][363][364]
323,Marina Tsvetaeva,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/181706,1892–1941,Russian,poet,"Remeslo, Posle Rossii",[9]
324,Marina Tsvetaeva,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/240118,1892–1941,Russian,poet,"Remeslo, Posle Rossii",[9]
325,Marina Tsvetaeva,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2148679,1892–1941,Russian,poet,"Remeslo, Posle Rossii",[9]
326,Christos Tsiolkas,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/182291,b. 1965,Australian,novelist,The Slap,[146]
327,Bertolt Brecht,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/182742,1898–1956,German,playwright,The Threepenny Opera,[9]
328,Jeremy Bentham,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/182977,1748–1832,English,philosopher,An Introduction to the Principles of Morals and Legislation,[9]
329,Jeremy Bentham,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/237267,1748–1832,English,philosopher,An Introduction to the Principles of Morals and Legislation,[9]
330,Djuna Barnes,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/183496,1892–1982,American,novelist,"Ladies Almanack, Nightwood",[9]
331,Val McDermid,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/183827,b. 1955,Scottish,"journalist, crime writer",Lindsay Gordon series and other notable crime series,[284]
332,Val McDermid,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2255758,b. 1955,Scottish,"journalist, crime writer",Lindsay Gordon series and other notable crime series,[284]
333,Aphra Behn,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/185123,c. 1640–1689,English,"dramatist, poet and novelist",Oroonoko,[9]
334,Aphra Behn,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/228330,c. 1640–1689,English,"dramatist, poet and novelist",Oroonoko,[9]
335,Severo Sarduy,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/185253,1937–1993,Cuban,"poet, playwright",Cobra,[8]
336,Erwin Mortier,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/221143,b. 1965,Belgian,"novelist, poet, essayist, translator",While the Gods Were Sleeping,[296]
337,Bill Konigsberg,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/229106,b. 1970,American,"sportswriter, young adult literature","Out of the Pocket, Openly Straight",[253]
338,Bruce Benderson,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/229420,b. 1946,American,"novelist, essayist",Autobiographie érotique,[46]
339,Bruce Benderson,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2235908,b. 1946,American,"novelist, essayist",Autobiographie érotique,[46]
340,Christopher Bram,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/230460,b. 1952,American,novelist,Father of Frankenstein,[39]
341,Sarah Scott,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/230726,1723–1795,English,novelist,A Description of Millenium Hall and the Country Adjacent,[9]
342,Craig Johnson,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/230776,b. ?,American,"screenwriter, film director","True Adolescents, The Skeleton Twins",[240]
343,David B. Feinberg,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/231431,1956–1994,American,journalist,Queer and Loathing,[164]
344,Elizabeth A. Lynn,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/232648,b. 1946,American,novelist,Chronicles of Tornor,[272]
345,Ellis Avery,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/232731,1972–2019,American,novelist,"The Teahouse Fire, The Last Nude",[28]
346,Fiona Patton,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/233210,b. 1962,Canadian,novelist,The Branion Realm (book series),[224]
347,Garrard Conley,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/233637,b. 1984/1985,American,memoirist,Boy Erased: A Memoir,[108]
348,William Beckford,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/234905,1760–1844,English,"novelist, travel writer",Vathek,[9]
349,James Robert Baker,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/235776,1946–1997,American,novelist,"Boy Wonder, Tim and Pete",[33]
350,John Weir,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/237144,b. 1959,American,"novelist, journalist","The Irreversible Decline of Eddie Socket, What I Did Wrong",[424]
351,Joris-Karl Huysmans,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/237394,1848–1907,French,novelist,"Against the Grain (À rebours, 1884)",[9]
352,Stella Duffy,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/244952,b. 1963?,English/New Zealand,novelist,State of Happiness,[150]
353,George Chauncey,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/253406,b. 1953,American,historian,"Gay New York: Gender, Urban Culture, and the Making of the Gay Male World, 1890–1940",[97]
354,George Chauncey,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2238196,b. 1953,American,historian,"Gay New York: Gender, Urban Culture, and the Making of the Gay Male World, 1890–1940",[97]
355,E. F. Benson,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/306888,1867–1940,English,novelist,Dodo,[9]
356,David Sedaris,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2006286,b. 1956,American,"essayist, short story writer",Naked (essay collection),[368]
357,Federico García Lorca,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2023778,1898–1936,Spanish,poet and playwright,Poeta en Nueva York,[9]
358,Federico García Lorca,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2198931,1898–1936,Spanish,poet and playwright,Poeta en Nueva York,[9]
359,Michael Golding,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2034305,b. ?,American,"novelist, screenwriter","A Poet of the Invisible World, Silk",[192]
360,Petronius,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2058579,ca 27-66,Roman,novelist,The Satyricon,[9]
361,Saleem Haddad,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2107857,b. 1983,Kuwaiti-British,novelist,Guapa,[207]
362,Hart Crane,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2120486,1899–1933,American,poet,The Bridge,[9]
363,Countee Cullen,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2120539,1903–1946,American,writer,Color (poetry collection),[9]
364,Paul Bowles,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2121794,1910–1999,American,"novelist, poet, translator",The Sheltering Sky,[9]
365,Muriel Rukeyser,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2126704,1913–1980,American,poetry,The Book of the Dead,[9]
366,Gerard Reve,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2137445,1923-2006,Dutch,writer,"Op weg naar het einde, Nader tot U",[9]
367,Umberto Saba,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2142708,1883–1957,Italian,"poet, novelist",Songbook,[9]
368,Jane Bowles,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2144022,1917–1973,American,"novelist, playwright",Two Serious Ladies,[9]
369,Kate Cayley,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2147107,b. ?,Canadian,"poet, dramatist, short stories","How You Were Born, The Hangman in the Mirror, After Akhmatova",[93]
370,Zoe Whittall,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2148473,b. 1976,Canadian,fiction,"Bottle Rocket Hearts, Holding Still for As Long As Possible",[220]
371,Christopher Rice,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2152292,b. 1978,American,author,"The Heavens Rise, The Vines",[338]
372,Christopher Rice,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2191837,b. 1978,American,author,"The Heavens Rise, The Vines",[338]
373,Raziel Reid,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2156006,b. 1990,Canadian,young adult fiction,When Everything Feels Like the Movies,[333]
374,Henri Cole,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2156283,b. 1956,American,poet,Touch (poetry collection),[103]
375,Bryan Washington,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2156320,b. 1993,American,fiction,"Lot, Memorial",[417]
376,Samra Habib,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2158699,,Canadian,memoirist,We Have Always Been Here,[206]
377,Honoré de Balzac,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2160048,1799–1850,French,novelist,La Comédie humaine,[9]
378,Thom Gunn,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2169440,1929–2004,English,poet,The Man with Night Sweats,[9]
379,Fernando Vallejo,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2172125,b. 1942,Colombian,novelist,Our Lady of the Assassins,[8]
380,Marguerite Yourcenar,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2172137,1903–1987,French,novelist,Memoirs of Hadrian,[9]
381,Garth Greenwell,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2172268,b. 1978,American,novelist,What Belongs to You,[202]
