Name
Kai Cheng Thom
Sara Tilley
James Tiptree Jr. (pseudonym of Alice Sheldon)
Colm Tóibín
Michel Tremblay
Roland Michel Tremblay
Mary L. Trump
Christos Tsiolkas
Aren X. Tulchinsky
Fernando Vallejo
Marlene van Niekerk
R. M. Vaughan
Carl Van Vechten
Valeria Vegas
Gore Vidal
David Viñas
Bruno Vogel
Sylvia Townsend Warner
John Weir
Denton Welch
Robert Westfield
Joshua Whitehead
Angus Wilson
Douglas Wilson
Jacqueline Wilson
Jia Qing Wilson-Yang
Donald Windham
Marnie Woodrow
Virginia Woolf
Bart Yates
Marguerite Yourcenar
Luis Zapata
Eve Zaremba
Fiona Zedde
"Cyd Zeigler, Jr."
Alexander Ziegler
Richard Zimler
